"Date";"Species";"Abundance"
"2010";"Freq";"1673.25"
"2011";"Freq";"1364"
"2012";"Freq";"1738.25"
"2013";"Freq";"2377"
"2014";"Freq";"1639.5"
"2015";"Freq";"1669.5"
"2016";"Freq";NA
"1981";"Cormorant";"3.75"
"1982";"Cormorant";"3"
"1983";"Cormorant";"14.25"
"1984";"Cormorant";"19.5"
"1985";"Cormorant";"4.25"
"1986";"Cormorant";"1.25"
"1987";"Cormorant";"0.75"
"1988";"Cormorant";"23"
"1989";"Cormorant";"47.5"
"1990";"Cormorant";"92"
"1991";"Cormorant";"78"
"1992";"Cormorant";"102.25"
"1993";"Cormorant";"222.75"
"1994";"Cormorant";"111.5"
"1995";"Cormorant";"69.5"
"1996";"Cormorant";"143.25"
"1997";"Cormorant";"182.5"
"1998";"Cormorant";"346"
"1999";"Cormorant";"343.75"
"2000";"Cormorant";"392"
"2001";"Cormorant";"406"
"2002";"Cormorant";"352"
"2003";"Cormorant";"451"
"2004";"Cormorant";"305.75"
"2005";"Cormorant";"156"
"2006";"Cormorant";"410.5"
"2007";"Cormorant";"308.75"
"2008";"Cormorant";"138.25"
"2009";"Cormorant";"54"
"2010";"Cormorant";"52"
"2011";"Cormorant";"18.75"
"2012";"Cormorant";"53.5"
"2013";"Cormorant";"70.5"
"2014";"Cormorant";"63"
"2015";"Cormorant";"27.75"
"2016";"Cormorant";NA
"1981";"HeronEgret";"63"
"1982";"HeronEgret";"215.25"
"1983";"HeronEgret";"407.25"
"1984";"HeronEgret";"1068.25"
"1985";"HeronEgret";"941.5"
"1986";"HeronEgret";"1677.5"
"1987";"HeronEgret";"163"
"1988";"HeronEgret";"1887.5"
"1989";"HeronEgret";"2482.5"
"1990";"HeronEgret";"2611.25"
"1991";"HeronEgret";"2180"
"1992";"HeronEgret";"1717.5"
"1993";"HeronEgret";"1885"
"1994";"HeronEgret";"1845"
"1995";"HeronEgret";"1810"
"1996";"HeronEgret";"2105"
"1997";"HeronEgret";"1458.25"
"1998";"HeronEgret";"687.5"
"1999";"HeronEgret";"780.25"
"2000";"HeronEgret";"1031.25"
"2001";"HeronEgret";"580.5"
"2002";"HeronEgret";"570"
"2003";"HeronEgret";"800.25"
"2004";"HeronEgret";"224.5"
"2005";"HeronEgret";"158.5"
"2006";"HeronEgret";"259.25"
"2007";"HeronEgret";"161.25"
"2008";"HeronEgret";"129"
"2009";"HeronEgret";"133.25"
"2010";"HeronEgret";"167.75"
"2011";"HeronEgret";"90.75"
"2012";"HeronEgret";"141.25"
"2013";"HeronEgret";"177.25"
"2014";"HeronEgret";"229.5"
"2015";"HeronEgret";"181.5"
"2016";"HeronEgret";NA
