"","dates","sp_all","abundance_cold"
"179","1984","Anas crecca",9272.5
"180","1985","Anas crecca",20295
"181","1986","Anas crecca",7575
"182","1987","Anas crecca",8621.25
"183","1988","Anas crecca",17760
"184","1989","Anas crecca",27465
"185","1990","Anas crecca",26952.5
"186","1991","Anas crecca",24065
"187","1992","Anas crecca",20060
"188","1993","Anas crecca",20915
"189","1994","Anas crecca",19377.5
"190","1995","Anas crecca",18292.5
"191","1996","Anas crecca",14847.5
"192","1997","Anas crecca",14130
"193","1998","Anas crecca",26495
"194","1999","Anas crecca",21965
"195","2000","Anas crecca",19511.25
"196","2001","Anas crecca",17980
"197","2002","Anas crecca",22550
"198","2003","Anas crecca",19610
"199","2004","Anas crecca",17441.25
"200","2005","Anas crecca",12389.25
"201","2006","Anas crecca",3081.75
"202","2007","Anas crecca",9451.75
"203","2008","Anas crecca",15144.25
"204","2009","Anas crecca",17121.5
"205","2010","Anas crecca",16725.75
"206","2011","Anas crecca",8317.25
"207","2012","Anas crecca",12963.25
"208","2013","Anas crecca",14963.75
"209","2014","Anas crecca",11537.75
"210","2015","Anas crecca",14008.75
"211","1981","Aythya ferina",9380
"212","1982","Aythya ferina",6076.5
"213","1983","Aythya ferina",7736
"214","1984","Aythya ferina",2758.75
"215","1985","Aythya ferina",12847.5
"216","1986","Aythya ferina",6871
"217","1987","Aythya ferina",3115
"218","1988","Aythya ferina",4965
"219","1989","Aythya ferina",6740
"220","1990","Aythya ferina",4015
"221","1991","Aythya ferina",3248.75
"222","1992","Aythya ferina",3162.5
"223","1993","Aythya ferina",2607.5
"224","1994","Aythya ferina",1746.25
"225","1995","Aythya ferina",1200.25
"226","1996","Aythya ferina",445.5
"227","1997","Aythya ferina",987.5
"228","1998","Aythya ferina",215
"229","1999","Aythya ferina",191.5
"230","2000","Aythya ferina",680.25
"231","2001","Aythya ferina",1824
"232","2002","Aythya ferina",419.5
"233","2003","Aythya ferina",667.25
"234","2004","Aythya ferina",745
"235","2005","Aythya ferina",979.75
"236","2006","Aythya ferina",523.5
"237","2007","Aythya ferina",673
"238","2008","Aythya ferina",179.5
"239","2009","Aythya ferina",64.25
"240","2010","Aythya ferina",27.75
"241","2011","Aythya ferina",107.25
"242","2012","Aythya ferina",43
"243","2013","Aythya ferina",4.25
"244","2014","Aythya ferina",11
"245","2015","Aythya ferina",15.25
"246","1981","Aythya fuligula",2407.5
"247","1982","Aythya fuligula",2842.5
"248","1983","Aythya fuligula",2362.25
"249","1984","Aythya fuligula",2307.5
"250","1985","Aythya fuligula",3092.5
"251","1986","Aythya fuligula",3216.5
"252","1987","Aythya fuligula",2387
"253","1988","Aythya fuligula",3132.5
"254","1989","Aythya fuligula",3468.75
"255","1990","Aythya fuligula",2106.25
"256","1991","Aythya fuligula",2222.5
"257","1992","Aythya fuligula",2752.5
"258","1993","Aythya fuligula",2841.75
"259","1994","Aythya fuligula",1782.75
"260","1995","Aythya fuligula",862
"261","1996","Aythya fuligula",1609.25
"262","1997","Aythya fuligula",994.25
"263","1998","Aythya fuligula",1353
"264","1999","Aythya fuligula",887.5
"265","2000","Aythya fuligula",647.5
"266","2001","Aythya fuligula",864.25
"267","2002","Aythya fuligula",523.25
"268","2003","Aythya fuligula",324.75
"269","2004","Aythya fuligula",530.25
"270","2005","Aythya fuligula",373.75
"271","2006","Aythya fuligula",6.75
"272","2007","Aythya fuligula",21
"273","2008","Aythya fuligula",31
"274","2009","Aythya fuligula",15.5
"275","2010","Aythya fuligula",0
"276","2011","Aythya fuligula",96.25
"277","2012","Aythya fuligula",4.75
"278","2013","Aythya fuligula",84.75
"279","2014","Aythya fuligula",22.5
"280","2015","Aythya fuligula",27
"281","1981","Netta rufina",34
"282","1982","Netta rufina",39.75
"283","1983","Netta rufina",72.75
"284","1984","Netta rufina",66.75
"285","1985","Netta rufina",54.5
"286","1986","Netta rufina",54
"287","1987","Netta rufina",71.25
"288","1988","Netta rufina",61
"289","1989","Netta rufina",0
"290","1990","Netta rufina",8
"291","1991","Netta rufina",0
"292","1992","Netta rufina",23.75
"293","1993","Netta rufina",65.25
"294","1994","Netta rufina",61
"295","1995","Netta rufina",0
"296","1996","Netta rufina",0
"297","1997","Netta rufina",0
"298","1998","Netta rufina",0
"299","1999","Netta rufina",0
"300","2000","Netta rufina",0
"301","2001","Netta rufina",0
"302","2002","Netta rufina",0
"303","2003","Netta rufina",0
"304","2004","Netta rufina",0
"305","2005","Netta rufina",0
"306","2006","Netta rufina",0
"307","2007","Netta rufina",0
"308","2008","Netta rufina",0
"309","2009","Netta rufina",11.25
"310","2010","Netta rufina",0
"311","2011","Netta rufina",0
"312","2012","Netta rufina",0
"313","2013","Netta rufina",0
"314","2014","Netta rufina",0
"315","2015","Netta rufina",0
"316","1981","Tadorna tadorna",71.25
"317","1982","Tadorna tadorna",117.75
"318","1983","Tadorna tadorna",1036.5
"319","1984","Tadorna tadorna",1222
"320","1985","Tadorna tadorna",1647.75
"321","1986","Tadorna tadorna",1586
"322","1987","Tadorna tadorna",1130.25
"323","1988","Tadorna tadorna",1059.5
"324","1989","Tadorna tadorna",2285.25
"325","1990","Tadorna tadorna",735.25
"326","1991","Tadorna tadorna",490.5
"327","1992","Tadorna tadorna",478.5
"328","1993","Tadorna tadorna",1542
"329","1994","Tadorna tadorna",752.75
"330","1995","Tadorna tadorna",1730.75
"331","1996","Tadorna tadorna",744.75
"332","1997","Tadorna tadorna",1241.25
"333","1998","Tadorna tadorna",599.25
"334","1999","Tadorna tadorna",1026
"335","2000","Tadorna tadorna",1632.5
"336","2001","Tadorna tadorna",1435
"337","2002","Tadorna tadorna",1899.5
"338","2003","Tadorna tadorna",752.75
"339","2004","Tadorna tadorna",1395
"340","2005","Tadorna tadorna",997.5
"341","2006","Tadorna tadorna",146.5
"342","2007","Tadorna tadorna",302.25
"343","2008","Tadorna tadorna",2256
"344","2009","Tadorna tadorna",1319
"345","2010","Tadorna tadorna",2135.5
"346","2011","Tadorna tadorna",2010.75
"347","2012","Tadorna tadorna",2564.5
"348","2013","Tadorna tadorna",4235.75
"349","2014","Tadorna tadorna",3939.25
"350","2015","Tadorna tadorna",3890.75
"351","1981","Fulica atra",11140
"352","1982","Fulica atra",14812.5
"353","1983","Fulica atra",16872.25
"354","1984","Fulica atra",14820
"355","1985","Fulica atra",41677.5
"356","1986","Fulica atra",22915
"357","1987","Fulica atra",21981
"358","1988","Fulica atra",34425
"359","1989","Fulica atra",33542.5
"360","1990","Fulica atra",46798.75
"361","1991","Fulica atra",43025
"362","1992","Fulica atra",51937.5
"363","1993","Fulica atra",48137.5
"364","1994","Fulica atra",20362.5
"365","1995","Fulica atra",25265
"366","1996","Fulica atra",26962.5
"367","1997","Fulica atra",34640
"368","1998","Fulica atra",47800
"369","1999","Fulica atra",49190
"370","2000","Fulica atra",40895
"371","2001","Fulica atra",59992.5
"372","2002","Fulica atra",29905
"373","2003","Fulica atra",46717.5
"374","2004","Fulica atra",29232.5
"375","2005","Fulica atra",18046.5
"376","2006","Fulica atra",8410.25
"377","2007","Fulica atra",40901.25
"378","2008","Fulica atra",39479
"379","2009","Fulica atra",45736.5
"380","2010","Fulica atra",31644.25
"381","2011","Fulica atra",17898.75
"382","2012","Fulica atra",21720.5
"383","2013","Fulica atra",17850.25
"384","2014","Fulica atra",18478.5
"385","2015","Fulica atra",16449.25
"386","1981","Ardea cinerea",2535
"387","1982","Ardea cinerea",2233.5
"388","1983","Ardea cinerea",3257.5
"389","1984","Ardea cinerea",1957.5
"390","1985","Ardea cinerea",3705
"391","1986","Ardea cinerea",2431.25
"392","1987","Ardea cinerea",4610
"393","1988","Ardea cinerea",4450
"394","1989","Ardea cinerea",5500
"395","1990","Ardea cinerea",2033.75
"396","1991","Ardea cinerea",3100
"397","1992","Ardea cinerea",2705
"398","1993","Ardea cinerea",4500
"399","1994","Ardea cinerea",3405
"400","1995","Ardea cinerea",3673.75
"401","1996","Ardea cinerea",2505
"402","1997","Ardea cinerea",3245
"403","1998","Ardea cinerea",4410
"404","1999","Ardea cinerea",3702.5
"405","2000","Ardea cinerea",1927.5
