"","dates","sp_all","abundance_cold"
"185","1990","Anas crecca",867.5
"186","1991","Anas crecca",870
"187","1992","Anas crecca",622.5
"188","1993","Anas crecca",645
"189","1994","Anas crecca",640
"190","1995","Anas crecca",640
"191","1996","Anas crecca",497.5
"192","1997","Anas crecca",465
"193","1998","Anas crecca",720
"194","1999","Anas crecca",682.5
"195","2000","Anas crecca",511.25
"196","2001","Anas crecca",572.5
"197","2002","Anas crecca",590
"198","2003","Anas crecca",527.5
"199","2004","Anas crecca",458.75
"200","2005","Anas crecca",338.25
"201","2006","Anas crecca",233.25
"202","2007","Anas crecca",403
"203","2008","Anas crecca",450.75
"204","2009","Anas crecca",562.75
"205","2010","Anas crecca",477.5
"206","2011","Anas crecca",367
"207","2012","Anas crecca",448.75
"208","2013","Anas crecca",454.25
"209","2014","Anas crecca",394.5
"210","2015","Anas crecca",411.75
"211","1981","Anas querquedula",0
"212","1982","Anas querquedula",0.25
"213","1983","Anas querquedula",0.25
"214","1984","Anas querquedula",0
"215","1985","Anas querquedula",0
"216","1986","Anas querquedula",0
"217","1987","Anas querquedula",0
"218","1988","Anas querquedula",0
"219","1989","Anas querquedula",0
"220","1990","Anas querquedula",0
"221","1991","Anas querquedula",0
"222","1992","Anas querquedula",0
"223","1993","Anas querquedula",0
"224","1994","Anas querquedula",0
"225","1995","Anas querquedula",0
"226","1996","Anas querquedula",0
"227","1997","Anas querquedula",0
"228","1998","Anas querquedula",0
"229","1999","Anas querquedula",0
"230","2000","Anas querquedula",0
"231","2001","Anas querquedula",0
"232","2002","Anas querquedula",0
"233","2003","Anas querquedula",0
"234","2004","Anas querquedula",0
"235","2005","Anas querquedula",0
"236","2006","Anas querquedula",0
"237","2007","Anas querquedula",1.25
"238","2008","Anas querquedula",0
"239","2009","Anas querquedula",0
"240","2010","Anas querquedula",0
"241","2011","Anas querquedula",0
"242","2012","Anas querquedula",0
"243","2013","Anas querquedula",0
"244","2014","Anas querquedula",0
"245","2015","Anas querquedula",0
