"","dates","sp_all","abundance_cold"
"1","1981","Calidris canutus",765
"2","1982","Calidris canutus",5312.5
"3","1983","Calidris canutus",2380
"4","1984","Calidris canutus",0
"5","1985","Calidris canutus",255
"6","1986","Calidris canutus",2040
"7","1987","Calidris canutus",4590
"8","1988","Calidris canutus",0
"9","1989","Calidris canutus",0
"10","1990","Calidris canutus",552.5
"11","1991","Calidris canutus",0
"12","1992","Calidris canutus",2252.5
"13","1993","Calidris canutus",0
"14","1994","Calidris canutus",255
"15","1995","Calidris canutus",0
"16","1996","Calidris canutus",0
"17","1997","Calidris canutus",0
"18","1998","Calidris canutus",4717.5
"19","1999","Calidris canutus",297.5
"20","2000","Calidris canutus",1657.5
"21","2001","Calidris canutus",0
"22","2002","Calidris canutus",4632.5
"23","2003","Calidris canutus",2040
"24","2004","Calidris canutus",4165
"25","2005","Calidris canutus",0
"26","2006","Calidris canutus",0
"27","2007","Calidris canutus",722.5
"28","2008","Calidris canutus",3952.5
"29","2009","Calidris canutus",2167.5
"30","2010","Calidris canutus",4547.5
"31","2011","Calidris canutus",22100
"32","2012","Calidris canutus",3272.5
"33","2013","Calidris canutus",6417.5
"34","2014","Calidris canutus",850
"35","2015","Calidris canutus",807.5
"36","1981","Calidris alpina",244912.5
"37","1982","Calidris alpina",402750
"38","1983","Calidris alpina",487125
"39","1984","Calidris alpina",452250
"40","1985","Calidris alpina",121275
"41","1986","Calidris alpina",150750
"42","1987","Calidris alpina",327375
"43","1988","Calidris alpina",23625
"44","1989","Calidris alpina",212625
"45","1990","Calidris alpina",131962.5
"46","1991","Calidris alpina",6525
"47","1992","Calidris alpina",228375
"48","1993","Calidris alpina",49500
"49","1994","Calidris alpina",4500
"50","1995","Calidris alpina",652.5
"51","1996","Calidris alpina",23625
"52","1997","Calidris alpina",0
"53","1998","Calidris alpina",86625
"54","1999","Calidris alpina",23062.5
"55","2000","Calidris alpina",50906.25
"56","2001","Calidris alpina",5062.5
"57","2002","Calidris alpina",19012.5
"58","2003","Calidris alpina",27562.5
"59","2004","Calidris alpina",70875
"60","2005","Calidris alpina",54000
"61","2006","Calidris alpina",1912.5
"62","2007","Calidris alpina",57543.75
"63","2008","Calidris alpina",8088.75
"64","2009","Calidris alpina",46462.5
"65","2010","Calidris alpina",60997.5
"66","2011","Calidris alpina",380373.75
"67","2012","Calidris alpina",242257.5
"68","2013","Calidris alpina",111802.5
"69","2014","Calidris alpina",207180
"70","2015","Calidris alpina",149208.75
"71","1981","Calidris ferruginea",16.875
"72","1982","Calidris ferruginea",0
"73","1983","Calidris ferruginea",16.875
"74","1984","Calidris ferruginea",0
"75","1985","Calidris ferruginea",50.625
"76","1986","Calidris ferruginea",0
"77","1987","Calidris ferruginea",16.875
"78","1988","Calidris ferruginea",0
"79","1989","Calidris ferruginea",0
"80","1990","Calidris ferruginea",0
"81","1991","Calidris ferruginea",0
"82","1992","Calidris ferruginea",0
"83","1993","Calidris ferruginea",0
"84","1994","Calidris ferruginea",0
"85","1995","Calidris ferruginea",0
"86","1996","Calidris ferruginea",0
"87","1997","Calidris ferruginea",0
"88","1998","Calidris ferruginea",0
"89","1999","Calidris ferruginea",0
"90","2000","Calidris ferruginea",0
"91","2001","Calidris ferruginea",0
"92","2002","Calidris ferruginea",0
"93","2003","Calidris ferruginea",0
"94","2004","Calidris ferruginea",0
"95","2005","Calidris ferruginea",0
"96","2006","Calidris ferruginea",0
"97","2007","Calidris ferruginea",0
"98","2008","Calidris ferruginea",0
