"Date";"Species";"Abundance"
"2000";"Freq";"5491"
"2001";"Freq";"5166"
"2002";"Freq";"4662.25"
"2003";"Freq";"3538.75"
"2004";"Freq";"4207"
"2005";"Freq";"5153"
"2006";"Freq";"3891"
"2007";"Freq";"2284.5"
"2008";"Freq";"5571.75"
"2009";"Freq";"3413"
"2010";"Freq";"4786"
"2011";"Freq";"4860"
"2012";"Freq";"12624.5"
"2013";"Freq";"9523.5"
"2014";"Freq";"7235.25"
"2015";"Freq";"8748.75"
"2016";"Freq";"7521.5"
"1981";"Cormorant";"33.5"
"1982";"Cormorant";"116.25"
"1983";"Cormorant";"43.25"
"1984";"Cormorant";"83"
"1985";"Cormorant";"87.5"
"1986";"Cormorant";"192.5"
"1987";"Cormorant";"113.75"
"1988";"Cormorant";"206.25"
"1989";"Cormorant";"315"
"1990";"Cormorant";"457.5"
"1991";"Cormorant";"355"
"1992";"Cormorant";"350"
"1993";"Cormorant";"475"
"1994";"Cormorant";"420.5"
"1995";"Cormorant";"355.25"
"1996";"Cormorant";"365.5"
"1997";"Cormorant";"256.25"
"1998";"Cormorant";"222"
"1999";"Cormorant";"353"
"2000";"Cormorant";"335"
"2001";"Cormorant";"357.5"
"2002";"Cormorant";"272.25"
"2003";"Cormorant";"200.5"
"2004";"Cormorant";"218.25"
"2005";"Cormorant";"166.75"
"2006";"Cormorant";"48"
"2007";"Cormorant";"164"
"2008";"Cormorant";"196.5"
"2009";"Cormorant";"31.25"
"2010";"Cormorant";"53"
"2011";"Cormorant";"90.25"
"2012";"Cormorant";"316.5"
"2013";"Cormorant";"168"
"2014";"Cormorant";"154"
"2015";"Cormorant";"140.25"
"2016";"Cormorant";"90.75"
"1981";"HeronEgret";"87.5"
"1982";"HeronEgret";"118"
"1983";"HeronEgret";"91.25"
"1984";"HeronEgret";"138.25"
"1985";"HeronEgret";"95.75"
"1986";"HeronEgret";"605.75"
"1987";"HeronEgret";"375.75"
"1988";"HeronEgret";"216"
"1989";"HeronEgret";"665"
"1990";"HeronEgret";"275"
"1991";"HeronEgret";"95"
"1992";"HeronEgret";"241.25"
"1993";"HeronEgret";"137.5"
"1994";"HeronEgret";"224.5"
"1995";"HeronEgret";"170"
"1996";"HeronEgret";"190"
"1997";"HeronEgret";"161.25"
"1998";"HeronEgret";"152.5"
"1999";"HeronEgret";"191.25"
"2000";"HeronEgret";"203"
"2001";"HeronEgret";"119.5"
"2002";"HeronEgret";"193"
"2003";"HeronEgret";"134.75"
"2004";"HeronEgret";"121.75"
"2005";"HeronEgret";"133.25"
"2006";"HeronEgret";"57.25"
"2007";"HeronEgret";"67.25"
"2008";"HeronEgret";"90.25"
"2009";"HeronEgret";"22.75"
"2010";"HeronEgret";"51.75"
"2011";"HeronEgret";"64.75"
"2012";"HeronEgret";"80.75"
"2013";"HeronEgret";"91.25"
"2014";"HeronEgret";"67.5"
"2015";"HeronEgret";"61.25"
"2016";"HeronEgret";"47"
